date,parliament,division,cause,formerMember,party,winner,party,unopposed
2018-10-20,45th Parliament (2016–2019),Wentworth,Resignation,Malcolm Turnbull,Liberal,Kerryn Phelps,Independent,
2018-07-28,,Braddon,Resignation,Justine Keay,Labor,Justine Keay,Labor,
2018-07-28,,Fremantle,Resignation,Josh Wilson,Labor,Josh Wilson,Labor,
2018-07-28,,Longman,Resignation,Susan Lamb,Labor,Susan Lamb,Labor,
2018-07-28,,Mayo,Resignation,Rebekha Sharkie,Centre Alliance,Rebekha Sharkie,Centre Alliance,
2018-07-28,,Perth,Resignation,Tim Hammond,Labor,Patrick Gorman,Labor,
2018-03-17,,Batman,Resignation,David Feeney,Labor,Ged Kearney,Labor,
2017-12-16,,Bennelong,Resignation,John Alexander,Liberal,John Alexander,Liberal,
2017-12-02,,New England,Disqualification,Barnaby Joyce,National,Barnaby Joyce,National,
2015-12-05,44th Parliament (2013–2016),North Sydney,Resignation,Joe Hockey,Liberal,Trent Zimmerman,Liberal,
2015-09-19,,Canning,Death,Don Randall,Liberal,Andrew Hastie,Liberal,
2014-02-08,,Griffith,Resignation,Kevin Rudd,Labor,Terri Butler,Labor,
2009-12-05,42nd Parliament (2007–2010),Higgins,Resignation,Peter Costello,Liberal,Kelly O'Dwyer,Liberal,
2009-12-05,,Bradfield,Resignation,Brendan Nelson,Liberal,Paul Fletcher,Liberal,
2008-09-06,,Lyne,Resignation,Mark Vaile,National,Rob Oakeshott,Independent,
2008-09-06,,Mayo,Resignation,Alexander Downer,Liberal,Jamie Briggs,Liberal,
2008-06-28,,Gippsland,Resignation,Peter McGauran,National,Darren Chester,National,
2005-03-19,41st Parliament (2004–2007),Werriwa,Resignation,Mark Latham,Labor,Chris Hayes,Labor,
2002-10-19,40th Parliament (2001–2004),Cunningham,Resignation,Stephen Martin,Labor,Michael Organ,Greens,
2001-07-14,39th Parliament (1998–2001),Aston,Death,Peter Nugent,Liberal,Chris Pearce,Liberal,
2001-03-17,,Ryan,Resignation,John Moore,Liberal,Leonie Short,Labor,
