electionDate,seatsTotalNumber,electionWinner,comment
1901-03-29,75,Non-labor,"First election. Election was Friday 29 March in NSW, Tassie, Vic, and WA; and Saturday 30 March in SA and QLD."
1903-12-16,75,Non-labor,
1906-12-12,75,Non-labor,
1910-04-13,75,Labor,
1913-05-31,75,Non-labor,
1914-09-05,75,Labor,Fisher '14
1917-05-05,75,Non-labor,
1919-12-13,75,Non-labor,Hughes '19
1922-12-16,75,Non-labor,
1925-11-14,75,Non-labor,
1928-11-17,75,Non-labor,
1929-10-12,75,Labor,Scullin '29
1931-12-19,75,Non-labor,Lyons '31
1934-09-15,74,Non-labor,Lyons '34
1937-10-23,74,Non-labor,
1940-09-21,74,Non-labor,
1943-08-21,74,Labor,Curtin '43
1946-09-28,74,Labor,
1949-12-10,121,Non-labor,Menzies '49
1951-04-28,121,Non-labor,Menzies '51
1954-05-29,121,Non-labor,
1955-12-10,122,Non-labor,Menzies '55
1958-11-22,122,Non-labor,
1961-12-09,122,Non-labor,
1963-11-30,122,Non-labor,
1966-11-26,124,Non-labor,
1969-10-25,125,Non-labor,
1972-12-02,125,Labor,
1974-05-18,127,Labor,
1975-12-13,127,Non-labor,Fraser '75
1977-12-10,124,Non-labor,
1980-10-18,125,Non-labor,
1983-03-05,125,Labor,
1984-12-01,148,Labor,
1987-07-11,148,Labor,Hawke '87
1990-03-24,148,Labor,
1993-03-13,147,Labor,
1996-03-02,148,Non-labor,Howard '96
1998-10-03,148,Non-labor,
2001-11-10,150,Non-labor,
2004-10-09,150,Non-labor,
2007-11-24,150,Labor,Kevin '07
2010-08-21,150,Labor,
2013-09-07,150,Non-labor,
2016-07-02,150,Non-labor,
2019-05-18,151,Non-labor,
