electionDate,parliament,sessionNumber,dateOfOpening,lastSittingDayOfTheHouseOfReps,dateOfProrogation,dateOfDissolutionOrExpiration,doubleDissolutionElection,comments
1901-03-29,1,1,1901-05-09,1902-10-10,1902-10-10,,,"Election was Friday 29 March in NSW, Tassie, Vic, and WA; and Saturday 30 March in SA and QLD."
1901-03-29,1,2,1903-05-26,1903-10-22,1903-10-22,1903-11-23,,
1903-12-16,2,1,1904-03-02,1904-12-15,1904-12-15,,,
1903-12-16,2,2,1905-06-28,1905-12-21,1905-12-21,,,
1903-12-16,2,3,1906-06-07,1906-10-12,1906-10-12,1906-11-05,,
1906-12-12,3,1,1907-02-20,1907-02-21,1907-02-22,,,
1906-12-12,3,2,1907-07-03,1908-06-05,1908-06-11,,,
1906-12-12,3,3,1908-09-16,1908-12-11,1908-12-15,,,
1906-12-12,3,4,1909-05-26,1909-12-08,1909-12-13,1910-02-19,,
1910-04-13,4,1,1910-07-01,1910-11-25,1910-11-29,,,
1910-04-13,4,2,1911-09-05,1911-12-21,1911-12-22,,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1910-04-13,4,3,1912-06-19,1912-12-21,1913-01-08,1913-04-23,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1913-05-31,5,1,1913-07-09,1913-12-19,1913-12-19,,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1913-05-31,5,2,1914-04-15,1914-06-26,1914-06-27,1914-07-30,,
1914-09-05,6,1,1914-10-08,1917-03-17,1917-03-20,1917-03-26,1,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1917-05-05,7,1,1917-06-14,1917-06-14,1917-06-16,,,
1917-05-05,7,2,1917-07-11,1919-10-24,1919-10-28,1919-11-03,,
1919-12-13,8,1,1920-02-26,1921-12-10,1922-01-05,,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1919-12-13,8,2,1922-06-28,1922-10-14,1922-10-18,1922-11-06,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1922-12-16,9,1,1923-02-28,1923-03-09,1923-03-21,,,
1922-12-16,9,2,1923-06-13,1924-10-10,1925-04-30,,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1922-12-16,9,3,1925-06-10,1925-09-25,1925-09-28,1925-10-03,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1925-11-14,10,1,1926-01-13,1928-09-22,,1928-10-09,,Last sitting day of the House Of Reps was acutally a range over a couple and this is the first
1928-11-17,11,1,1929-02-06,1929-09-12,,1929-09-16,,
1929-10-12,12,1,1929-11-20,1931-11-26,,1931-11-27,,
