division,state,division_num_enrolled,division_num_voted,division_percent_voted,original_name,party,vote_redistribution_round,votes_count,votes_share,swing,redistributed_vote_count,redistributed_vote_share,txt_file,election_date,starred,plus,capitalised,twoPP,number_of_candidates,winnerDummy,uniqueID,seatsTotalNumber,electionWinner,new_twoPP_count,new_twoPP_dummy,test_winnerDummy,reproduced_winnerDummy,winnerDummy_n,test_winnerDummy_n,reproduced_winnerDummy_n,test_reproduced_match
LOWE,NSW,79183,75868,95.8,Easson,ALP,10,39868,55,NA,3715,78.6,1993repsnsw,1993-03-13,FALSE,FALSE,TRUE,0,3,0,Easson1955,147,Labor,10,1,1,1,4042,146,146,1
BRISBANE,QLD,80653,76544,94.9,Bevis,ALP,10,41610,56,NA,4564,60.3,1993repsqld,1993-03-13,TRUE,FALSE,TRUE,0,3,0,Bevis1955,147,Labor,10,1,1,1,4042,146,146,1
CAPRICORNIA,QLD,80450,77286,96.1,Henzell,ALP,10,39663,52.7,NA,1221,7.9,1993repsqld,1993-03-13,FALSE,FALSE,TRUE,0,3,0,Henzell1948,147,Labor,10,1,1,1,4042,146,146,1
GREY,SA,86386,81738,94.6,Wakelin,Lib,10,40729,52.1,NA,2352,28.4,1993repssa,1993-03-13,FALSE,FALSE,TRUE,0,3,0,Wakelin1946,147,Labor,10,1,1,1,4042,146,146,1
BENNELONG,NSW,83167,79601,95.7,Howard,Lib,12,42075,56,NA,2292,36,1998repsnsw,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Howard1939,148,Non-labor,12,1,1,1,4577,147,147,1
LINDSAY,NSW,83254,80665,96.9,Kelly,Lib,10,39200,51.3,NA,5053,57.9,1998repsnsw,1998-10-03,TRUE,FALSE,TRUE,0,2,0,Kelly1964,148,Non-labor,10,1,1,1,4577,147,147,1
LOWE,NSW,81150,77774,95.8,Murphy,ALP,10,40527,54.6,NA,9861,59.1,1998repsnsw,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Murphy1950,148,Non-labor,10,1,1,1,4577,147,147,1
PATERSON,NSW,81181,79308,97.7,Horne,ALP,10,39268,51.2,NA,3317,44.6,1998repsnsw,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Horne1939,148,Non-labor,10,1,1,1,4577,147,147,1
SYDNEY,NSW,85433,78768,92.2,Plibersek,ALP,10,50463,66.9,NA,7731,80,1998repsnsw,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Plibersek1969,148,Non-labor,10,1,1,1,4577,147,147,1
BENDIGO,VIC,83185,81403,97.9,Gibbons,ALP,11,41726,53.5,NA,3740,56.6,1998repsvic,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Gibbons1949,148,Non-labor,11,1,1,1,4577,147,147,1
CASEY,VIC,79674,77091,96.8,Wooldridge,Lib,10,40598,54.9,NA,3607,39.8,1998repsvic,1998-10-03,TRUE,FALSE,TRUE,0,2,0,NA,148,Non-labor,10,1,1,1,4577,147,147,1
GIPPSLAND,VIC,80364,77780,96.8,Mcgauran,NPA,10,43506,58.8,NA,6523,56.1,1998repsvic,1998-10-03,TRUE,FALSE,TRUE,0,2,0,McGauran1955,148,Non-labor,10,1,1,1,4577,147,147,1
McMILLAN,VIC,81120,79099,97.5,Zahra,ALP,10,38360,50.6,NA,6240,55.2,1998repsvic,1998-10-03,FALSE,FALSE,TRUE,0,2,0,Zahra1973,148,Non-labor,10,1,1,1,4577,147,147,1
BRAND,WA,76733,74022,96.5,Beazley,ALP,11,43587,62.3,NA,3919,41.7,1998repswa,1998-10-03,TRUE,FALSE,TRUE,0,2,0,NA,148,Non-labor,11,1,1,1,4577,147,147,1
NEWCASTLE,NSW,77327,68469,88.5,Morris,ALP,10,43917,67.3,NA,8094,55.9,1998repsnsw,1998-11-21,TRUE,FALSE,TRUE,0,2,0,Morris1940,NA,NA,10,1,1,1,65,1,1,1
